ClusterID X Y Z
0 0.253 -0.698 0.215
1 7.867 -1.778 1.306
2 0.492 7.714 0.992
3 0.875 6.126 0.572
4 1.695 5.907 0.338
5 14.854 -4.108 1.117
6 2.145 8.846 0.406
7 9.867 19.433 1.337
8 11.187 17.809 1.292
9 11.707 16.382 1.238
10 15.804 -0.137 0.979
11 14.293 -2.142 0.637
12 12.681 -8.090 0.934
13 0.514 2.464 -0.097
14 14.119 0.778 0.328
15 2.994 0.046 -1.163
16 12.698 -3.503 0.206
17 13.341 -5.103 0.574
18 11.640 16.604 0.228
19 12.911 -0.055 0.110
20 11.362 -5.463 0.129
21 2.884 -14.083 -0.036
22 12.511 -1.578 -0.107
23 10.312 -3.980 -0.606
24 12.172 0.533 -0.506
25 11.094 -1.582 -0.565
26 9.979 -6.539 -0.432
27 4.818 -15.707 -0.608
28 3.263 -16.209 -0.613
29 5.969 -11.299 -0.738
30 9.688 17.500 -1.740
31 7.296 10.299 -0.857
32 13.293 8.552 -1.367
33 12.942 4.366 -1.176
34 13.102 3.111 -1.159
35 11.320 1.627 -0.978
36 10.672 0.415 -0.987
37 10.284 -1.629 -0.887
38 5.865 -9.234 -0.935
39 4.292 -9.214 -0.865
40 2.508 -9.501 -0.836
41 2.104 5.563 -1.398
42 9.810 9.719 -1.477
43 5.487 -7.207 -0.961
44 7.315 10.337 -1.720
45 8.827 3.452 -1.389
46 7.302 -3.231 -1.125
47 2.901 -6.584 -0.971
48 7.426 7.192 -1.615
49 8.004 0.102 -1.241
50 4.114 -5.292 -1.039
51 0.100 -6.326 -0.972
52 3.373 7.618 -1.546
53 6.448 4.608 -1.465
54 7.391 1.895 -1.474
55 6.087 -2.877 -1.245
56 2.459 -4.784 -1.036
57 0.285 7.405 -1.522
58 2.216 6.941 -1.501
59 5.540 4.235 -1.441
60 0.114 -5.015 -1.017
61 0.127 -4.116 -1.042
62 0.274 -1.782 -0.760
63 1.419 0.419 -1.218
64 0.262 0.161 -0.234
